index,action,id_message,id_participant,recipients
2023-04-04 11:03:17.263022+08:00,send notification,jitai_temperature,usk06,1
2023-04-04 11:03:17.958870+08:00,send notification,jitai_temperature,usk10,1
2023-04-04 11:08:15.753022+08:00,send notification,jitai_temperature,usk09,1
2023-04-04 13:03:17.570358+08:00,send notification,jitai_temperature,usk02,1
2023-04-04 13:28:17.112622+08:00,send notification,jitai_temperature,usk05,1
2023-04-04 13:33:17.141662+08:00,send notification,jitai_temperature,usk08,1
2023-04-04 13:40:00.599872+08:00,send notification,jitai_temperature,usk11,1
2023-04-04 13:40:01.184020+08:00,send notification,jitai_temperature,usk12,1
2023-04-04 13:40:01.819564+08:00,send notification,jitai_temperature,usk13,1
2023-04-04 13:40:02.432286+08:00,send notification,jitai_temperature,usk14,1
2023-04-04 13:40:03.020580+08:00,send notification,jitai_temperature,usk15,1
2023-04-04 13:58:17.752584+08:00,send notification,jitai_temperature,usk07,1
2023-04-04 14:08:18.706020+08:00,send notification,jitai_temperature,usk01,1
2023-04-04 14:08:19.349363+08:00,send notification,jitai_temperature,usk03,1
2023-04-04 14:08:19.943546+08:00,send notification,jitai_temperature,usk04,1
2023-04-04 14:08:20.567520+08:00,send notification,jitai_temperature,usk06,1
2023-04-04 14:08:21.283778+08:00,send notification,jitai_temperature,usk10,1
2023-04-04 14:13:17.616610+08:00,send notification,jitai_temperature,usk09,1
2023-04-04 16:08:18.118414+08:00,send notification,jitai_temperature,usk02,1
2023-04-04 16:33:18.555293+08:00,send notification,jitai_temperature,usk05,1
2023-04-04 16:38:12.718008+08:00,send notification,jitai_temperature,usk08,1
2023-04-04 16:43:19.866466+08:00,send notification,jitai_temperature,usk11,1
2023-04-04 16:43:20.441661+08:00,send notification,jitai_temperature,usk12,1
2023-04-04 16:43:21.234136+08:00,send notification,jitai_temperature,usk13,1
2023-04-04 16:43:21.824176+08:00,send notification,jitai_temperature,usk14,1
2023-04-04 16:43:22.430114+08:00,send notification,jitai_temperature,usk15,1
2023-04-04 17:03:18.806026+08:00,send notification,jitai_temperature,usk07,1
2023-04-04 17:13:19.325532+08:00,send notification,jitai_temperature,usk01,1
2023-04-04 17:13:20.069973+08:00,send notification,jitai_temperature,usk03,1
2023-04-04 17:13:20.684445+08:00,send notification,jitai_temperature,usk04,1
2023-04-04 17:13:21.405075+08:00,send notification,jitai_temperature,usk06,1
2023-04-04 17:13:22.138449+08:00,send notification,jitai_temperature,usk10,1
2023-04-04 17:18:18.967446+08:00,send notification,jitai_temperature,usk09,1
2023-04-05 11:03:17.272313+08:00,send notification,jitai_temperature_adaptive,usk02,1
2023-04-05 14:03:18.770294+08:00,send notification,jitai_temperature_adaptive,usk02,1
2023-04-05 16:03:18.905526+08:00,send notification,jitai_temperature_adaptive,usk02,1
2023-04-06 09:03:17.764803+08:00,send notification,jitai_temperature_adaptive,usk02,1
2023-04-06 09:03:18.689614+08:00,send notification,jitai_temperature_adaptive,usk04,1
2023-04-06 10:48:17.123058+08:00,send notification,jitai_temperature,usk01,1
2023-04-06 10:48:19.946160+08:00,send notification,jitai_temperature,usk13,1
2023-04-06 11:03:18.331741+08:00,send notification,jitai_temperature_adaptive,usk02,1
2023-04-06 11:03:20.813120+08:00,send notification,jitai_temperature,usk15,1
2023-04-06 11:08:16.940342+08:00,send notification,jitai_temperature,usk03,1
2023-04-06 11:18:18.618197+08:00,send notification,jitai_temperature,usk10,1
2023-04-06 11:18:19.140702+08:00,send notification,jitai_temperature,usk11,1
2023-04-06 11:23:18.005943+08:00,send notification,jitai_temperature,usk05,1
2023-04-06 11:33:18.629261+08:00,send notification,jitai_temperature,usk09,1
2023-04-06 12:03:17.838257+08:00,send notification,jitai_temperature_adaptive,usk04,1
2023-04-06 12:28:19.928901+08:00,send notification,jitai_temperature,usk07,1
2023-04-06 12:28:21.027635+08:00,send notification,jitai_temperature,usk14,1
2023-04-06 14:19:34.136359+08:00,send notification,jitai_temperature,usk01,1
2023-04-06 17:21:49.614124+08:00,send notification,jitai_temperature,usk01,1
2023-04-07 10:03:18.141275+08:00,send notification,jitai_temperature,usk10,1
2023-04-07 10:03:19.112787+08:00,send notification,jitai_temperature,usk14,1
2023-04-07 10:08:19.116800+08:00,send notification,jitai_temperature,usk09,1
2023-04-07 10:58:19.740512+08:00,send notification,jitai_temperature,usk07,1
2023-04-07 11:03:18.873896+08:00,send notification,jitai_temperature_adaptive,usk02,1
2023-04-07 11:28:19.450614+08:00,send notification,jitai_temperature,usk08,1
